Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination
Rated bullet game,https://lichess.org/jPM1blyU,2024.09.10,?,talmizrahi1,oussamabouha1408,0-1,2024.09.10,10:24:54,1536,1500,-7,+6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/GXeS5JbL,2024.09.10,?,sereffgullu,talmizrahi1,0-1,2024.09.10,10:17:16,1569,1529,-6,+7,Standard,60+0,B54,Time forfeit
Rated bullet game,https://lichess.org/Osk6Gjiu,2024.09.10,?,talmizrahi1,meowpew,0-1,2024.09.10,10:03:59,1535,1556,-6,+5,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/wPaKoiZa,2024.09.10,?,Ayrifoub,talmizrahi1,1-0,2024.09.10,10:01:49,1543,1540,+5,-5,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/26fHvCuM,2024.09.10,?,talmizrahi1,LeerySwift,0-1,2024.09.10,10:00:13,1545,1578,-5,+6,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/FoXy9ip5,2024.09.10,?,ray_xl,talmizrahi1,0-1,2024.09.10,09:57:37,1542,1540,-6,+5,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/JjBUw1Ds,2024.09.10,?,talmizrahi1,GreteVals,0-1,2024.09.10,09:55:07,1545,1542,-5,+6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/2OzQhq0X,2024.09.10,?,talmizrahi1,pourya1387,0-1,2024.09.10,09:51:55,1551,1567,-6,+5,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/BJzzPWOt,2024.09.10,?,majoseeq,talmizrahi1,1-0,2024.09.10,09:49:33,1668,1555,+4,-4,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/J3XVS3vb,2024.09.10,?,talmizrahi1,Luk00,1-0,2024.09.10,07:49:04,1549,1537,+6,-6,Standard,60+0,B10,Time forfeit
Rated blitz game,https://lichess.org/D3vyPmf6,2024.09.09,?,win4ever,talmizrahi1,0-1,2024.09.09,19:08:08,1435,1424,-6,+7,Standard,180+0,A04,Time forfeit
Rated blitz game,https://lichess.org/16tCX59k,2024.09.09,?,talmizrahi1,zoous,1-0,2024.09.09,19:04:09,1418,1356,+6,-5,Standard,180+0,B06,Time forfeit
Rated bullet game,https://lichess.org/O4hqj5tj,2024.09.09,?,Windelpupser,talmizrahi1,1-0,2024.09.09,19:01:47,1550,1555,+6,-6,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/yRz7YFLL,2024.09.09,?,sirgoodheart,talmizrahi1,0-1,2024.09.09,18:52:29,1589,1548,-7,+7,Standard,60+0,A01,Time forfeit
Rated bullet game,https://lichess.org/9csJVOUo,2024.09.09,?,schackl80,talmizrahi1,0-1,2024.09.09,18:50:02,1589,1542,-7,+6,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/Mc9iVrXD,2024.09.09,?,talmizrahi1,imanboar,1-0,2024.09.09,18:47:42,1536,1557,+6,-17,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/gCoG8pmP,2024.09.09,?,talmizrahi1,panxaverda,0-1,2024.09.09,18:45:28,1541,1571,-5,+5,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/16CPcJJL,2024.09.09,?,BLG221,talmizrahi1,0-1,2024.09.09,18:21:42,1536,1535,-5,+6,Standard,60+0,A34,Time forfeit
Rated blitz game,https://lichess.org/n2bD1iVl,2024.09.09,?,talmizrahi1,affan5867,0-1,2024.09.09,16:49:55,1425,1416,-7,+6,Standard,180+0,B00,Normal
Rated blitz game,https://lichess.org/wBrh3l1E,2024.09.09,?,KristinaMakarova,talmizrahi1,1-0,2024.09.09,16:46:57,1376,1434,+6,-9,Standard,180+0,B50,Normal
Rated blitz game,https://lichess.org/PmcE28al,2024.09.09,?,iampratiksarkar,talmizrahi1,1-0,2024.09.09,16:42:56,1425,1442,+6,-8,Standard,180+0,B20,Normal
Rated bullet game,https://lichess.org/fWCfo3WT,2024.09.09,?,D_A_N_1_7,talmizrahi1,0-1,2024.09.09,16:35:41,1499,1530,-6,+5,Standard,60+0,A04,Time forfeit
Rated bullet game,https://lichess.org/99m5PQKU,2024.09.09,?,talmizrahi1,dot_product,1-0,2024.09.09,16:33:16,1525,1502,+5,-5,Standard,60+0,B40,Time forfeit
Rated bullet game,https://lichess.org/7l0MPZZ6,2024.09.09,?,talmizrahi1,F84T,1-0,2024.09.09,14:53:37,1519,1518,+6,-6,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/P7DQUWuQ,2024.09.09,?,Abhishek14890,talmizrahi1,1/2-1/2,2024.09.09,14:17:55,1564,1518,-1,+1,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/rBp5jBNm,2024.09.09,?,talmizrahi1,LcsFranco,1-0,2024.09.09,13:02:57,1512,1528,+6,-9,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/ZYe6ivrB,2024.09.09,?,talmizrahi1,luckynip,1-0,2024.09.09,13:01:01,1507,1445,+5,-4,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/0cRVawCW,2024.09.09,?,Seibisse,talmizrahi1,1/2-1/2,2024.09.09,12:58:40,1509,1507,+0,+0,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/oL0jCiV0,2024.09.09,?,bonzotiger,talmizrahi1,1-0,2024.09.09,12:56:28,1509,1513,+8,-6,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/D2cifm8i,2024.09.09,?,talmizrahi1,ATAHADIDI,1-0,2024.09.09,12:54:43,1508,1525,+5,-70,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/5NJTX12k,2024.09.09,?,talmizrahi1,Tinydog45k,1/2-1/2,2024.09.09,12:52:58,1508,1514,+0,+0,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/110umt1n,2024.09.09,?,Mrsh2000,talmizrahi1,1-0,2024.09.09,12:51:19,1500,1511,+246,-3,Standard,60+0,D20,Normal
Rated bullet game,https://lichess.org/ySeDVbZY,2024.09.09,?,talmizrahi1,JnoJ,1-0,2024.09.09,11:42:48,1505,1504,+6,-6,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/Do5dqTY2,2024.09.09,?,talmizrahi1,mazigh13,1-0,2024.09.09,10:52:37,1499,1490,+6,-6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/WTtx7UFy,2024.09.09,?,pkmelee,talmizrahi1,0-1,2024.09.09,10:50:26,1415,1495,-5,+4,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/bPk8ZNpH,2024.09.09,?,mihirraval111,talmizrahi1,1-0,2024.09.09,10:49:15,1530,1500,+6,-5,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/8fOXm8eA,2024.09.09,?,talmizrahi1,budaqov2009,1-0,2024.09.09,09:48:58,1494,1494,+6,-7,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/Y2wgqxgD,2024.09.09,?,KhurramXD,talmizrahi1,0-1,2024.09.09,09:46:49,1494,1488,-6,+6,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/98oT9qEZ,2024.09.09,?,kumanoit,talmizrahi1,0-1,2024.09.09,09:44:59,1518,1482,-6,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/N8hW9jqO,2024.09.09,?,vamvamvam,talmizrahi1,0-1,2024.09.09,09:42:59,1409,1477,-4,+5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/YAe2SqKZ,2024.09.09,?,Check64x8,talmizrahi1,0-1,2024.09.09,09:40:38,1373,1473,-4,+4,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/3wTTG0Cy,2024.09.09,?,talmizrahi1,Yagelmeister,1-0,2024.09.09,09:38:30,1468,1437,+5,-6,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/ECUPRcYP,2024.09.09,?,apple_love,talmizrahi1,1-0,2024.09.09,09:36:19,1445,1474,+6,-6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/IVMS7xNq,2024.09.09,?,talmizrahi1,KuzcoTheLlama,1-0,2024.09.09,09:34:05,1468,1486,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/hlEa4PNI,2024.09.09,?,talmizrahi1,jaimerodriguezmora,0-1,2024.09.09,09:32:42,1475,1428,-7,+7,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/xecUb9VJ,2024.09.09,?,DeskAuto,talmizrahi1,1-0,2024.09.09,09:30:22,1497,1480,+5,-5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/AvjVLXfs,2024.09.09,?,talmizrahi1,konva10,0-1,2024.09.09,09:28:20,1486,1483,-6,+6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/xNtIEb7q,2024.09.09,?,talmizrahi1,Givmechar,0-1,2024.09.09,09:26:16,1491,1511,-5,+5,Standard,60+0,A05,Time forfeit
Rated bullet game,https://lichess.org/vCEDdou1,2024.09.09,?,tolezet,talmizrahi1,0-1,2024.09.09,09:24:14,1513,1485,-6,+6,Standard,60+0,B52,Time forfeit
Rated bullet game,https://lichess.org/nUXxOKVh,2024.09.09,?,talmizrahi1,aaarghhh,0-1,2024.09.09,09:22:07,1490,1519,-5,+5,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/rUj4yqNT,2024.09.09,?,T3tchicha,talmizrahi1,0-1,2024.09.09,09:19:38,1515,1484,-6,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/MLgQAQhN,2024.09.09,?,talmizrahi1,MR_PUTIN_V_V,0-1,2024.09.09,09:17:34,1490,1453,-6,+6,Standard,60+0,B02,Time forfeit
Rated bullet game,https://lichess.org/spVUBkSO,2024.09.09,?,talmizrahi1,UdayME,0-1,2024.09.09,09:15:48,1496,1503,-6,+5,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/8lthQdl7,2024.09.09,?,caliskanmurat,talmizrahi1,0-1,2024.09.09,09:13:53,1488,1490,-6,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/ER4Zl8be,2024.09.09,?,ghaliesh,talmizrahi1,1-0,2024.09.09,09:06:37,1515,1495,+5,-5,Standard,60+0,D02,Time forfeit
Rated bullet game,https://lichess.org/6yDuAkQa,2024.09.09,?,talmizrahi1,BannedFromWorld,1-0,2024.09.09,09:04:20,1490,1487,+5,-6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/bzYPFyzr,2024.09.09,?,learnerkiller,talmizrahi1,1-0,2024.09.09,09:02:36,1526,1495,+5,-5,Standard,60+0,B23,Normal
Rated bullet game,https://lichess.org/7ZqHpGCL,2024.09.09,?,elmerac,talmizrahi1,1-0,2024.09.09,08:59:55,1387,1502,+7,-7,Standard,60+0,D23,Time forfeit
Rated bullet game,https://lichess.org/zUgwBfMz,2024.09.09,?,d8admeat,talmizrahi1,1-0,2024.09.09,08:57:46,1523,1508,+6,-6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/lOuiHjkA,2024.09.09,?,talmizrahi1,d8admeat,1-0,2024.09.09,08:56:28,1501,1529,+7,-6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/USSDbiZE,2024.09.09,?,esquizo_frenico-96,talmizrahi1,1-0,2024.09.09,08:54:29,1447,1508,+7,-7,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/5Ve8MPha,2024.09.09,?,talmizrahi1,regasu21,1-0,2024.09.09,08:52:32,1504,1405,+4,-4,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/jDN9xIF3,2024.09.09,?,LV_Corporal,talmizrahi1,1-0,2024.09.09,08:50:01,1530,1509,+5,-5,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/WkTSYEe9,2024.09.09,?,Chief_Zebrudaya,talmizrahi1,0-1,2024.09.09,05:51:14,1502,1503,-5,+6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/o8bZQz9d,2024.09.08,?,talmizrahi1,yevge,1-0,2024.09.08,20:05:14,1498,1507,+5,-6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/TlzD2eAW,2024.09.08,?,plusminus13,talmizrahi1,1-0,2024.09.08,20:03:23,1489,1503,+6,-5,Standard,60+0,D24,Normal
Rated bullet game,https://lichess.org/E977HgKU,2024.09.08,?,talmizrahi1,ktpson,1-0,2024.09.08,19:53:56,1499,1419,+4,-4,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/UTg7z7Zh,2024.09.08,?,talmizrahi1,Lucilaos,0-1,2024.09.08,19:51:44,1505,1499,-6,+6,Standard,60+0,C42,Time forfeit
Rated bullet game,https://lichess.org/UNWWjDaW,2024.09.08,?,Konrad543210,talmizrahi1,0-1,2024.09.08,19:04:17,1510,1499,-6,+6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/d1hBuA4M,2024.09.08,?,talmizrahi1,MarmotaFatal,1-0,2024.09.08,14:26:46,1493,1499,+6,-6,Standard,60+0,C42,Time forfeit
Rated bullet game,https://lichess.org/dCeKph9x,2024.09.08,?,talmizrahi1,Rafik108,1-0,2024.09.08,14:24:30,1487,1472,+6,-6,Standard,60+0,A06,Time forfeit
Rated bullet game,https://lichess.org/MCIpgy0u,2024.09.08,?,mm67,talmizrahi1,0-1,2024.09.08,13:38:57,1447,1482,-5,+5,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/CPctoKvU,2024.09.08,?,LogicWolfAce,talmizrahi1,0-1,2024.09.08,13:36:37,1471,1477,-5,+5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/CZ3xA02R,2024.09.08,?,Ermuunee0628,talmizrahi1,0-1,2024.09.08,13:34:18,1411,1472,-13,+5,Standard,60+0,D93,Time forfeit
Rated bullet game,https://lichess.org/RWmocEDp,2024.09.08,?,talmizrahi1,hauiii,0-1,2024.09.08,13:32:04,1477,1537,-5,+5,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/iuAIw9dC,2024.09.08,?,talmizrahi1,SAIDZIER_CHESS,1-0,2024.09.08,13:07:55,1470,1547,+7,-7,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/LSq2PA1P,2024.09.08,?,Nochnaya,talmizrahi1,0-1,2024.09.08,13:05:27,1482,1463,-6,+7,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/DgBjfYxO,2024.09.08,?,rakan91,talmizrahi1,0-1,2024.09.08,13:03:23,1439,1458,-6,+5,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/KpkQ7Ky3,2024.09.08,?,talmizrahi1,youssef_ahmed11,0-1,2024.09.08,13:01:02,1464,1447,-6,+6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/VS0AXX3I,2024.09.08,?,talmizrahi1,merdgms,1-0,2024.09.08,12:58:50,1460,1346,+4,-4,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/osyYEINo,2024.09.08,?,New-Morning,talmizrahi1,0-1,2024.09.08,11:54:48,1489,1454,-6,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/aGoC0Gu8,2024.09.08,?,talmizrahi1,ebrabadeeb,1-0,2024.09.08,11:52:27,1448,1450,+6,-6,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/qxMvnDcB,2024.09.08,?,NishikaSaravanan,talmizrahi1,1-0,2024.09.08,11:50:47,1439,1454,+8,-6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/1Kht0STb,2024.09.08,?,dali1601,talmizrahi1,1-0,2024.09.08,11:49:13,1545,1458,+13,-4,Standard,60+0,B52,Normal
Rated bullet game,https://lichess.org/0UJFUqup,2024.09.08,?,talmizrahi1,VagaBondsPraY4u,1-0,2024.09.08,11:46:56,1452,1472,+6,-6,Standard,60+0,B30,Time forfeit
Rated bullet game,https://lichess.org/fEbP8Rcv,2024.09.08,?,talmizrahi1,Bishop_70,0-1,2024.09.08,11:44:35,1457,1473,-5,+6,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/QmiQCJE5,2024.09.08,?,Sebas0721,talmizrahi1,0-1,2024.09.08,11:42:20,1456,1451,-6,+6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/lpV5RN6q,2024.09.08,?,talmizrahi1,rah91,1-0,2024.09.08,11:41:29,1446,1431,+5,-5,Standard,60+0,C42,Normal
Rated bullet game,https://lichess.org/Z36Yv6vB,2024.09.08,?,talmizrahi1,Lil-Lix,1-0,2024.09.08,11:39:07,1439,1531,+7,-10,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/BRvw5Nk5,2024.09.08,?,DorianChan,talmizrahi1,0-1,2024.09.08,11:36:46,1463,1432,-6,+7,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/mLftUHJq,2024.09.08,?,talmizrahi1,WolfMan2024,0-1,2024.09.08,11:34:37,1439,1399,-7,+6,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/2YHXTjGm,2024.09.08,?,talmizrahi1,Puneet_97,1-0,2024.09.08,11:32:15,1435,1500,+4,-284,Standard,60+0,C55,Time forfeit
Rated bullet game,https://lichess.org/XBFdYrGg,2024.09.08,?,sofos,talmizrahi1,0-1,2024.09.08,11:30:17,1450,1429,-6,+6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/MgHyIc8w,2024.09.08,?,kmartha,talmizrahi1,1-0,2024.09.08,11:28:01,1461,1434,+6,-5,Standard,60+0,A04,Time forfeit
Rated bullet game,https://lichess.org/b9GsNVuK,2024.09.08,?,talmizrahi1,bahtyyy,0-1,2024.09.08,11:17:05,1441,1397,-7,+7,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/7zoeRvEt,2024.09.08,?,Swapna_paul,talmizrahi1,1-0,2024.09.08,11:14:56,1414,1447,+6,-6,Standard,60+0,D24,Time forfeit
Rated bullet game,https://lichess.org/xcQto5h7,2024.09.08,?,Rolo3,talmizrahi1,0-1,2024.09.08,11:12:44,1427,1442,-6,+5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/rc1exX4E,2024.09.08,?,talmizrahi1,abdelhamidradouane,0-1,2024.09.08,11:10:58,1447,1485,-5,+5,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/Cj51WkLh,2024.09.08,?,talmizrahi1,alpieto,1-0,2024.09.08,11:08:49,1441,1414,+6,-6,Standard,60+0,C55,Time forfeit
Rated bullet game,https://lichess.org/LmMZE9d1,2024.09.08,?,adzi_12,talmizrahi1,0-1,2024.09.08,11:06:35,1424,1436,-6,+5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/wDT9AVOS,2024.09.08,?,talmizrahi1,torchfire19,0-1,2024.09.08,11:04:26,1440,1531,-4,+4,Standard,60+0,C47,Normal
Rated bullet game,https://lichess.org/d4YmooNt,2024.09.08,?,krishnasol,talmizrahi1,1-0,2024.09.08,11:03:53,1402,1446,+6,-6,Standard,60+0,B22,Normal
Rated bullet game,https://lichess.org/eNdSDezy,2024.09.08,?,talmizrahi1,korntut,0-1,2024.09.08,11:01:51,1452,1450,-6,+9,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/0QBg0BEI,2024.09.08,?,Check64x8,talmizrahi1,0-1,2024.09.08,10:13:12,1447,1446,-6,+6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/cmPhhLhw,2024.09.08,?,talmizrahi1,Geogiant96,1-0,2024.09.08,10:10:53,1440,1494,+6,-12,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/VvmTorh4,2024.09.08,?,talmizrahi1,Amikamlapola69,1-0,2024.09.08,10:08:37,1434,1442,+6,-7,Standard,60+0,C64,Time forfeit
Rated bullet game,https://lichess.org/RCMqK2q3,2024.09.08,?,micaakimov,talmizrahi1,0-1,2024.09.08,10:06:39,1426,1428,-9,+6,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/9theXNd2,2024.09.08,?,lucid_rs,talmizrahi1,1-0,2024.09.08,10:04:23,1378,1435,+7,-7,Standard,60+0,B22,Normal
Rated bullet game,https://lichess.org/RBj9eHJe,2024.09.08,?,Jerick_Carreon,talmizrahi1,1-0,2024.09.08,10:02:04,1462,1440,+10,-5,Standard,60+0,B22,Time forfeit
Rated bullet game,https://lichess.org/G32MMSRr,2024.09.08,?,talmizrahi1,sonyatimochenko,0-1,2024.09.08,09:59:32,1445,1463,-5,+65,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/3iGwomFJ,2024.09.08,?,Brighton4l,talmizrahi1,0-1,2024.09.08,09:57:53,1506,1438,-7,+7,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/nUdmXzjQ,2024.09.08,?,talmizrahi1,ZagrIvan777,1-0,2024.09.08,09:56:16,1432,1442,+6,-6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/y66A27a3,2024.09.08,?,talmizrahi1,mmitb,0-1,2024.09.08,09:54:23,1438,1405,-6,+7,Standard,60+0,B02,Normal
Rated bullet game,https://lichess.org/ksQUGjun,2024.09.08,?,talmizrahi1,czeda1991,1-0,2024.09.08,09:52:06,1432,1455,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/OvW41LoE,2024.09.08,?,ssullltan,talmizrahi1,0-1,2024.09.08,09:50:03,1398,1427,-5,+5,Standard,60+0,A02,Time forfeit
Rated bullet game,https://lichess.org/4qSPjaXN,2024.09.08,?,Ss_77,talmizrahi1,1-0,2024.09.08,09:48:02,1503,1431,+5,-4,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/SoR53S1G,2024.09.08,?,talmizrahi1,Ace4Score,1-0,2024.09.08,09:45:42,1425,1437,+6,-6,Standard,60+0,C50,Time forfeit
